index,id,title,duration,duration_min,url,is_short_duration_le_60,categories
52,mSABAej_XYI,"7살 고양이, ‘이거’ 안 했다가 치아 다 뽑을 뻔 했습니다…",718.0,11.97,https://www.youtube.com/watch?v=mSABAej_XYI,False,건강/진료
53,WxG8Zr9SQOU,엄마 나 회사 안 갈래요 고양이 봐야된단 말이에요 그래도 가야지 네가 부장인데…ㅣ고양식탁 민음사TV 조아란 편,2041.0,34.02,https://www.youtube.com/watch?v=WxG8Zr9SQOU,False,기타/엔터테인먼트
54,OGBoFn95WEA,내 연프가 여깄어...고양이들의 데이트를 따라가봤다,570.0,9.5,https://www.youtube.com/watch?v=OGBoFn95WEA,False,기타/엔터테인먼트
55,EdVSHBT1TLs,천재거나 미치거나ㅣ묘종백과 아비시니안 편,634.0,10.57,https://www.youtube.com/watch?v=EdVSHBT1TLs,False,품종/지식
56,TzVgqK1XYDk,우리집 고양이는 역변? 정변? 냥생역전✨,565.0,9.42,https://www.youtube.com/watch?v=TzVgqK1XYDk,False,건강/진료;생활/돌봄
57,Utl-p_gAP2Q,장난인줄 알았죠…? 진짜 물린 겁니다 (물렸을 때 상황별 대처법 총정리!),1045.0,17.42,https://www.youtube.com/watch?v=Utl-p_gAP2Q,False,기타/엔터테인먼트
58,SHWNdSofKp0,고양이가 친구를 사귀게 되면 '이 시그널'이 있습니다,317.0,5.28,https://www.youtube.com/watch?v=SHWNdSofKp0,False,기타/엔터테인먼트
59,Pm_DdDJtC2E,염소소리로 잔소리하는 기묘한 고양이🐑,480.0,8.0,https://www.youtube.com/watch?v=Pm_DdDJtC2E,False,기타/엔터테인먼트
60,gRxkZ3_qrKU,둘이 헤어지면 고양이는 누가 키워야 할까?,512.0,8.53,https://www.youtube.com/watch?v=gRxkZ3_qrKU,False,기타/엔터테인먼트
61,gCDdmEBcUok,고양이한테 한 번이라도 밟혀본 사람이 대단한 이유,280.0,4.67,https://www.youtube.com/watch?v=gCDdmEBcUok,False,기타/엔터테인먼트
62,UcAOJ83hKkY,[4K] 입 속까지 다 보여주는 팬서비스 영상,842.0,14.03,https://www.youtube.com/watch?v=UcAOJ83hKkY,False,기타/엔터테인먼트
63,Y9Al5FfyWIQ,고양이 루틴에 집사가 종속되면 생기는 심각한 문제ㅣ미야옹서베이,487.0,8.12,https://www.youtube.com/watch?v=Y9Al5FfyWIQ,False,생활/돌봄
64,ljU8fX9rBx4,미야옹철을 은퇴시킬 초등학생의 고양이 비법서📖,448.0,7.47,https://www.youtube.com/watch?v=ljU8fX9rBx4,False,기타/엔터테인먼트
65,ZH3RaHy6DMQ,"고양이 구토, 치명적 결과를 맞이할 수 있습니다ㅣ집사메이커 lv.14",233.0,3.88,https://www.youtube.com/watch?v=ZH3RaHy6DMQ,False,건강/진료;생활/돌봄
66,cl0UqI3Je8A,고양이에게 상처받은 사람들(외상포함) F옹철이 위로해드립니다,437.0,7.28,https://www.youtube.com/watch?v=cl0UqI3Je8A,False,건강/진료
67,PtJuBg2SiYI,SUB) 눈떠보니 집사가 유승호...? 그 남자의 엄청난 (집)사생활ㅣ고양식탁 유승호 편,1788.0,29.8,https://www.youtube.com/watch?v=PtJuBg2SiYI,False,생활/돌봄
68,CIvbmJoZhOQ,귀가 찢어지고 발톱이 뽑혔다...앗 실수! 초보집사의 웃픈 오해😹,415.0,6.92,https://www.youtube.com/watch?v=CIvbmJoZhOQ,False,건강/진료;생활/돌봄
69,JQXZGY9L8vg,빗질 좋아하는 고양이로 만드는 비법💈미야옹실 영업중💈,477.0,7.95,https://www.youtube.com/watch?v=JQXZGY9L8vg,False,행동/감정
70,jqwzDIxWQk8,무시당하는 집사 주목! 고양이가 서열을 정하는 순간,423.0,7.05,https://www.youtube.com/watch?v=jqwzDIxWQk8,False,생활/돌봄
71,LbmoO2nqXBE,"고양이가 놀아달래서 힘든 집사, 이렇게 하시면 됩니다!",956.0,15.93,https://www.youtube.com/watch?v=LbmoO2nqXBE,False,생활/돌봄
72,_sxrpU0x4g8,"이 행동, ‘놀이’가 아닙니다! 고양이 사이가 나쁘다는 증거🚨",394.0,6.57,https://www.youtube.com/watch?v=_sxrpU0x4g8,False,행동/감정;생활/돌봄
73,jsl4PSyyYKQ,"여름, 고양이 목숨을 위협하는 치명적인 5가지 요인",365.0,6.08,https://www.youtube.com/watch?v=jsl4PSyyYKQ,False,기타/엔터테인먼트
74,VUIsWJLVgpE,"벽짚기 챌린지, 간식 지능테스트…안 해본 집사 없지?(귀엽긴 함)",1137.0,18.95,https://www.youtube.com/watch?v=VUIsWJLVgpE,False,생활/돌봄
75,0YVhPUZixY4,집사가 하란다고 냅다 똥꼬쇼 하는 고양이 어떤데,509.0,8.48,https://www.youtube.com/watch?v=0YVhPUZixY4,False,건강/진료;생활/돌봄
76,I3rQcjLvx38,(깜짝발표⭐️) 고양이 있는 집에 아기가 태어나면 어떡할까?,532.0,8.87,https://www.youtube.com/watch?v=I3rQcjLvx38,False,생활/돌봄;브이로그/서사
77,PUzgVTytfk0,고양이 걸그룹 불화설💥춘봉첨지와 칠복이의 미래는?ㅣ미야옹철의 가정방문 언더월드 편,933.0,15.55,https://www.youtube.com/watch?v=PUzgVTytfk0,False,기타/엔터테인먼트
78,MNrLy0Lh8kk,고양이 있는 집 에어컨 온도 딱 정해드립니다! 여름철 온도·습도·질병🌞💦,394.0,6.57,https://www.youtube.com/watch?v=MNrLy0Lh8kk,False,건강/진료;생활/돌봄
79,FZD-S3Y2tOI,호섭처남으로 '아기고양이 성장과정' 몰아보기😻,2113.0,35.22,https://www.youtube.com/watch?v=FZD-S3Y2tOI,False,브이로그/서사
80,qeeBDbbwBEo,고양이도 코 파나요? 코딱지로 알아보는 건강신호,385.0,6.42,https://www.youtube.com/watch?v=qeeBDbbwBEo,False,건강/진료
81,qpgMDZIlnGI,낯가리는 고양이 그냥 두면 안 되는 이유,449.0,7.48,https://www.youtube.com/watch?v=qpgMDZIlnGI,False,기타/엔터테인먼트
82,sL1aBwz1h0A,정신과 의사가 고양이를 키우면 벌어지는 일ㅣ고양식탁 오진승 편,1890.0,31.5,https://www.youtube.com/watch?v=sL1aBwz1h0A,False,기타/엔터테인먼트
83,k2QBLCAquzc,동그란 까만 눈이 귀여우세요? ㄷㄷㄷ안키워 본 사람은 모르는 고양이에 대한 착각들,397.0,6.62,https://www.youtube.com/watch?v=k2QBLCAquzc,False,기타/엔터테인먼트
